original_sku,assigned_sku,name,xcat,pricemap_key,MY_SUGGESTION,SUGGESTION_NOTES,SUGGESTED_ATTRIBUTE_NAME,SUGGESTED_ATTRIBUTE_VALUE,SUGGESTED_NEW_SKU,YOUR_DECISION,YOUR_NOTES
DIGBA440,DIGBA440-v1,440gsm Digital Print Banner :: 500mm x 30m,Roland_BN-20_Media,DEFAULT-BN-20_Digital_Banner_440gsm-DEFAULT-BN-20_Digital_Banner_440gsm,SUGGEST_MERGE_AS_VARIATION,Roland BN-20 narrow roll. Merge with Digi-Banner 440 as variable product.,Format,500mm x 30m (Roland BN-20),,,
DIGBA440,DIGBA440-v2,Digi-Banner 440,Digital_Print_Banner,DEFAULT-Digi_Banner_440-DEFAULT-Digi_Banner_440,SUGGEST_MERGE_AS_VARIATION,Standard full-width product. Canonical name. Use as parent.,Format,Standard Roll,,,
CANPOL,CANPOL-v1,Polyester Canvas :: 500mm x 25m,Roland_BN-20_Media,DEFAULT-BN-20_Digital_Canvas-DEFAULT-BN-20_Digital_Canvas,SUGGEST_MERGE_AS_VARIATION,Roland BN-20 narrow roll. Merge with Poly Canvas.,Format,500mm x 25m (Roland BN-20),,,
CANPOL,CANPOL-v2,Poly Canvas,"Digital_Print_Canvas, Digital_Print_Fabric, PVC_Free_Media",DEFAULT-Poly_Canvas-DEFAULT-Poly_Canvas,SUGGEST_MERGE_AS_VARIATION,Standard full-width product. Use as parent.,Format,Standard Roll,,,
PP810,PP810-v1,PP810 Economy Gloss Laminating Film :: 500mm x 50m,Roland_BN-20_Media,DEFAULT-BN-20_Digital_Laminate_3YEAR-DEFAULT-BN-20_Digital_Laminate_3YEAR,SUGGEST_MERGE_AS_VARIATION,Roland BN-20 narrow roll. Merge with Poli Print 810.,Format,500mm x 50m (Roland BN-20),,,
PP810,PP810-v2,Poli Print 810 - 4 Year Gloss Transparent Digital Vinyl,"Digital_Vinyl_Medium_Term, HP-Latex-Compatible-Media, Poli-Print-Monomeric, Poli-Print-Digital-Media-Laminates",DEFAULT-Poli_Print_810-DEFAULT-Poli_Print_810,SUGGEST_MERGE_AS_VARIATION,Standard product with correct categories. Use as parent.,Format,Standard Roll,,,
PP1230,PP1230-v1,PP1230 Premium Gloss Laminating Film :: 500mm x 50m,Roland_BN-20_Media,DEFAULT-BN-20_Digital_Laminate_7YEAR-DEFAULT-BN-20_Digital_Laminate_7YEAR,SUGGEST_MERGE_AS_VARIATION,Roland BN-20 narrow roll. Merge with Poli Print 1230.,Format,500mm x 50m (Roland BN-20),,,
PP1230,PP1230-v2,Poli Print 1230 - 5 Year Polymeric Transparent Digital Vinyl / Laminate,"Digital_Vinyl_Long_Term, Gloss_laminate, Poli-Print-Digital-Media-Laminates",DEFAULT-PP_1230-DEFAULT-PP_1230,SUGGEST_MERGE_AS_VARIATION,Standard product with correct categories. Use as parent.,Format,Standard Roll,,,
DIGPA200,DIGPA200-v1,Poster Paper :: 500mm x 50m,Roland_BN-20_Media,DEFAULT-BN-20_Digital_Poster_Paper-DEFAULT-BN-20_Digital_Poster_Paper,SUGGEST_MERGE_AS_VARIATION,Roland BN-20 narrow roll. Merge with Digi-Paper 200.,Format,500mm x 50m (Roland BN-20),,,
DIGPA200,DIGPA200-v2,Digi-Paper 200,"Digital_Print_Paper, PVC_Free_Media",DEFAULT-Digi_Paper_200-DEFAULT-Digi_Paper_200,SUGGEST_MERGE_AS_VARIATION,Standard product with correct categories. Use as parent.,Format,Standard Roll,,,
PP800,PP800-v1,PP800 4 Year Gloss White Digital Print Vinyl :: 500mm x 50m,Roland_BN-20_Media,DEFAULT-BN-20_Digital_Vinyl_4YEARGLOSS-DEFAULT-BN-20_Digital_Vinyl_4YEARGLOSS,SUGGEST_MERGE_AS_VARIATION,Roland BN-20 narrow roll. Merge with Poli Print 800.,Format,500mm x 50m (Roland BN-20),,,
PP800,PP800-v2,Poli Print 800 - 4 Year Gloss White Digital Vinyl,"Digital_Vinyl_Medium_Term, HP-Latex-Compatible-Media, Poli-Print-Monomeric, Poli-Print-Digital-Media-Laminates",DEFAULT-Poli_Print_800-DEFAULT-Poli_Print_800,SUGGEST_MERGE_AS_VARIATION,Standard product with correct categories. Use as parent.,Format,Standard Roll,,,
PP805,PP805-v1,PP805 4 Year Matt White Digital Print Vinyl :: 500mm x 50m,Roland_BN-20_Media,DEFAULT-BN-20_Digital_Vinyl_4YEARMATT-DEFAULT-BN-20_Digital_Vinyl_4YEARMATT,SUGGEST_MERGE_AS_VARIATION,Roland BN-20 narrow roll. Merge with Poli Print 805.,Format,500mm x 50m (Roland BN-20),,,
PP805,PP805-v2,Poli Print 805 - 4 Year Matt White Digital Vinyl,"Digital_Vinyl_Medium_Term, HP-Latex-Compatible-Media, Poli-Print-Monomeric, Poli-Print-Digital-Media-Laminates",DEFAULT-Poli_Print_805-DEFAULT-Poli_Print_805,SUGGEST_MERGE_AS_VARIATION,Standard product with correct categories. Use as parent.,Format,Standard Roll,,,
PP1200,PP1200-v1,PP1200 Gloss White 5 Year Digital Print Vinyl :: 500mm x 50m,Roland_BN-20_Media,DEFAULT-BN-20_Digital_Vinyl_7YEAR-DEFAULT-BN-20_Digital_Vinyl_7YEAR,SUGGEST_MERGE_AS_VARIATION,Roland BN-20 narrow roll. Merge with Poli Print 1200.,Format,500mm x 50m (Roland BN-20),,,
PP1200,PP1200-v2,Poli Print 1200 - 5 Year Polymeric Gloss White Digital Vinyl,"Digital_Vinyl_Long_Term, Poli-Print-Digital-Media-Laminates",DEFAULT-PP_1200-DEFAULT-PP_1200,SUGGEST_MERGE_AS_VARIATION,Standard product with correct categories. Use as parent.,Format,Standard Roll,,,
DFP07,DFP07-v1,DFP07 White Gloss High Tack Digital Print Vinyl :: 500mm x 25m,Roland_BN-20_Media,DEFAULT-BN-20_Digital_Vinyl_High_Tack-DEFAULT-BN-20_Digital_Vinyl_High_Tack,SUGGEST_MERGE_AS_VARIATION,Roland BN-20 narrow roll. Merge with ASLAN DFP07 UltraTack.,Format,500mm x 25m (Roland BN-20),,,
DFP07,DFP07-v2,ASLAN DFP07 UltraTack,"Digital_Vinyl_Long_Term, High_Tack_Digital_Print_Vinyl",DEFAULT-DFP07-DEFAULT-DFP07,SUGGEST_MERGE_AS_VARIATION,Standard full-width product. Canonical product name. Use as parent.,Format,Standard Roll,,,
3268,3268-v1,Orajet 3268 Matt White Wall Sticker Vinyl :: 500mm x 25m,Roland_BN-20_Media,DEFAULT-BN-20_Digital_Wall_Art_Vinyl-DEFAULT-BN-20_Digital_Wall_Art_Vinyl,SUGGEST_MERGE_AS_VARIATION,Roland BN-20 narrow roll. Merge with Orajet 3268 Ultra Removable.,Format,500mm x 25m (Roland BN-20),,,
3268,3268-v2,Orajet 3268 Ultra Removable Matt Vinyl,"Digital_Vinyl_Short_Term, Low_Tack_Digital_Print_Vinyl, Digital-Print-Wall-Graphic-Films",DEFAULT-Orajet_3268-DEFAULT-Orajet_3268,SUGGEST_MERGE_AS_VARIATION,Standard full-width product with correct multi-categories. Use as parent.,Format,Standard Roll,,,
DIGI-FAB,DIGI-FAB-v1,Digi-Fab Wallcovering and Furniture Wrap Fabric :: 500mm x 15m,Roland_BN-20_Media,DEFAULT-BN-20_Digital_Wall_Wrap-DEFAULT-BN-20_Digital_Wall_Wrap,SUGGEST_MERGE_AS_VARIATION,Roland BN-20 narrow roll. Merge with Digi-Fab.,Format,500mm x 15m (Roland BN-20),,,
DIGI-FAB,DIGI-FAB-v2,Digi-Fab,"Digital_Print_Canvas, Digital_Print_Fabric, PVC_Free_Media, Digital-Print-Wall-Graphic-Films",DEFAULT-Digi-Fab-DEFAULT-Digi-Fab,SUGGEST_MERGE_AS_VARIATION,Standard product with correct categories. Use as parent. Note: name 'Digi-Fab' should be expanded to full name in WooCommerce.,Format,Standard Roll,,,
Cover Styl' CT35,Cover Styl' CT35-v1,CT35 Aged Golden Pine,Cover_Styl_Wood,DEFAULT-CT35_Golden_Ebony-DEFAULT-CT35_Golden_Ebony,SUGGEST_KEEP_DROP_OTHER,This is the correct product for SKU 'Cover Styl CT35'. Keep this row as SKU CT35.,,,CT35,,
Cover Styl' CT35,Cover Styl' CT35-v2,CT69 Cream Brown,Cover_Styl_Wood,DEFAULT-CT69_Cream_Brown-DEFAULT-CT69_Cream_Brown,SUGGEST_SPLIT_NEW_SKU,Wrongly assigned SKU 'Cover Styl CT35'. The pricemap key (CT69_Cream_Brown) confirms this is product CT69. Assign correct SKU.,,,CT69,,
DJ100,DJ100-v1,D-Jet 100 - 4 Year Digital Vinyl,Digital_Vinyl_Medium_Term,DEFAULT-D_Jet_100-DEFAULT-D_Jet_100,SUGGEST_ALIAS,D-Jet 100 is Dorotape's brand name for Orajet 3164. These are the same product. Keep D-Jet 100 (Dorotape branded). Add 'Also sold as Orajet 3164' to the description. Drop the Orajet 3164 row.,,,DJ100,,
DJ100,DJ100-v2,Orajet 3164 - 4 Year Digital Vinyl,"Digital_Vinyl_Medium_Term, HP-Latex-Compatible-Media",DEFAULT-Orajet_3164-DEFAULT-Orajet_3164,SUGGEST_ALIAS,"OEM / manufacturer name for the same product as D-Jet 100. If you want both listed separately (e.g. different stock codes in Sage), use SPLIT_NEW_SKU. Otherwise drop this row and note the alias on DJ100.",,,,,
DJ100R,DJ100R-v1,D-Jet 100R - Removable 4 Year Digital Vinyl,Digital_Vinyl_Medium_Term,DEFAULT-D_Jet_100_R-DEFAULT-D_Jet_100_R,SUGGEST_ALIAS,"D-Jet 100R is the Dorotape brand; Orajet 3162 is the OEM name. Same product. Keep D-Jet 100R, note alias in description.",,,DJ100R,,
DJ100R,DJ100R-v2,Orajet 3162 - 4 Year Removable Digital Vinyl,Digital_Vinyl_Medium_Term,DEFAULT-Orajet_3162-DEFAULT-Orajet_3162,SUGGEST_ALIAS,OEM name for D-Jet 100R. Drop unless Sage tracks it as a separate stock code.,,,,,
12056,12056-v1,A4 Sheets 5 pack - 3mm Foamed PVC Sheet,Foamed-PVC,DEFAULT-Foamed_PVC_3mm-DEFAULT-Foamed_PVC_3mm,SUGGEST_MERGE_AS_VARIATION,Thickness variant. Merge as variable product with Thickness attribute. Names don't use :: so the script flagged them; decision here overrides that.,Thickness,3mm,,,
12056,12056-v2,A4 Sheets 5 pack - 5mm Foamed PVC Sheet,Foamed-PVC,DEFAULT-Foamed_PVC_5mm-DEFAULT-Foamed_PVC_5mm,SUGGEST_MERGE_AS_VARIATION,Thickness variant. Merge with 3mm row.,Thickness,5mm,,,
3017,3017-v1,Gorilla Gripper,Weeding_Handling_Tools,DEFAULT-Gorilla_Gripper-DEFAULT-Gorilla_Gripper,SUGGEST_SPLIT_NEW_SKU,Completely different product from Liquid Chalk Pen. Keep SKU 3017 for whichever is correct; assign a new SKU to the other. Gorilla Gripper has a proper category. Suggested new SKU: GOR-GRIP (or reassign to whichever Sage stock code is correct).,,,GOR-GRIP,,
3017,3017-v2,Liquid Chalk Pen,,DEFAULT-Liquid-Chalk-Pen-DEFAULT-Liquid-Chalk-Pen,SUGGEST_SPLIT_NEW_SKU,No category (xcat blank). Likely a data entry error assigning this SKU. Assign a new SKU and confirm the correct Sage stock code. Suggested: LIQ-CHALK.,,,LIQ-CHALK,,
L181,L181-v1,Ri-Mark Event 171 Gloss Gold,Ritrama_L_Range,DEFAULT-L171-DEFAULT-L171,SUGGEST_SPLIT_NEW_SKU,"Pricemap key is L171, not L181 — this is product 171 (Gold) incorrectly filed under SKU L181. Assign correct SKU L171.",,,L171,,
L181,L181-v2,Ri-Mark Event 181 Gloss Silver,"Ritrama_L_Range, Silver-Films",DEFAULT-L181-DEFAULT-L181,SUGGEST_KEEP_DROP_OTHER,This is the correct L181 product (pricemap key confirms). Keep this row as SKU L181.,,,L181,,
MSK,MSK-v1,Mimaki Smart Knives,Smart-Knives,DEFAULT-Mimaki_Smart_Knives-DEFAULT-Mimaki_Smart_Knives,SUGGEST_SPLIT_NEW_SKU,Mimaki and Mutoh use different blade specifications. These are different products. Assign separate SKUs. Suggested: MSK-MIM (Mimaki) and MSK-MUT (Mutoh). Decide which one (if either) keeps the original MSK SKU.,,,MSK-MIM,,
MSK,MSK-v2,Mutoh Smart Knives,Smart-Knives,DEFAULT-Mutoh_Smart_Knives-DEFAULT-Mutoh_Smart_Knives,SUGGEST_SPLIT_NEW_SKU,Different blade spec from Mimaki. Assign new SKU.,,,MSK-MUT,,
UNG,UNG-v1,Unger Squeegee,"Cleaners_Cleaning_Tools, Application_Tools",DEFAULT-Unger_Squeegee-DEFAULT-Unger_Squeegee,SUGGEST_SPLIT_NEW_SKU,The squeegee (tool) and blade (consumable) are separate purchaseable items. Suggested: UNG-SQG (squeegee) and UNG-BLD (blade). Decide which keeps the original UNG SKU.,,,UNG-SQG,,
UNG,UNG-v2,Unger Squeegee Blade,"Cleaners_Cleaning_Tools, Application_Tools",DEFAULT-Unger_Squeegee_Blade-DEFAULT-Unger_Squeegee_Blade,SUGGEST_SPLIT_NEW_SKU,"Replacement blade, separate product from the squeegee. Assign new SKU.",,,UNG-BLD,,
