"id","name","class","version","app","type","description"
"ecom.ECOM_Channels","Channels","ECOM_Channels","9.1.0","ecom","MODULE","The Channels module provides an interface for retrieving and updating orders, and creating offers on various channels."
"ecom.ECOM_Checkout","Checkout","ECOM_Checkout","9.1.0","ecom","MODULE","The checkout module provides order creation and payment setup functions."
"ecom.ECOM_CreditMan","Credit Manager","ECOM_CreditMan","9.1.0","ecom","MODULE","The Credit Manager module provides an interface for managing credit memos."
"ecom.ECOM_DemoStore","Demo Store","ECOM_DemoStore","9.0.0","ecom","MODULE","The demo store module provides no logic or code.  What is does provide is data for the demo store installed initially with the program.  This module may be updated but it's version number will not change so as to prevent demo data from being downloaded into previously installed stores."
"ecom.ECOM_OLP","Online Processing","ECOM_OLP","9.1.0","ecom","MODULE","The online processing module provides online processing functions."
"ecom.ECOM_Order","Order","ECOM_Order","9.1.0","ecom","MODULE","The order module provides functions for looking up, printing and processing orders."
"ecom.ECOM_OrderMan","OrderMan","ECOM_OrderMan","9.1.0","ecom","MODULE","The order manager module provides functions for managing orders."
"ecom.ECOM_PayPal","PayPal Integration","ECOM_PayPal","9.0.2","ecom","MODULE","The PayPal module provides an integration with advanced PayPal systems."
"ecom.ECOM_Prod","Products","ECOM_Prod","9.1.0","ecom","MODULE","The products module provides product display functionality."
"ecom.ECOM_PurchOrdMan","Purchase Order Manager","ECOM_PurchOrdMan","9.1.0","ecom","MODULE","The Purchase Order Manager module provides an interface for creating and managing purchase orders."
"ecom.ECOM_Reviews","Reviews","ECOM_Reviews","9.1.0","ecom","MODULE","The Reviews module provides reviews for products."
"ecom.ECOM_Ship","Shipping","ECOM_Ship","9.1.0","ecom","MODULE","The shipping module provides facilities to quote shipping rates as well as retrieve tracking information."
"ecom.ECOM_ShipEstimator","ShipEstimator","ECOM_ShipEstimator","9.1.0","ecom","MODULE","The ShipEstimator module provides shipping estimates."
"ecom.XMOD_Amazon","Extension Module: Amazon Channel","XMOD_Amazon","9.1.0","ecom","MODULE","The Amazon Channel extension module provides connectivity with Amazon for offers and orders."
"ecom.XMOD_CustomerViewer","Extension Module: Customer Viewer","XMOD_CustomerViewer","9.1.0","ecom","MODULE","The Customer Viewer extension module provides a detailed view of a customer and their order history."
"ecom.XMOD_eBay","Extension Module: eBay Channel","XMOD_eBay","9.1.0","ecom","MODULE","The eBay Channel extension module provides connectivity with eBay for offers and orders."
"ecom.XMOD_GoogleCustomerReviews","Extension Module: Google Customer Reviews","XMOD_GoogleCustomerReviews","9.0.3","ecom","MODULE","The Google Customer Reviews extension module provides the ability to offer reviews through Google for orders."
"ecom.XMOD_SpecialOffersEditor","Extension Module: Special Offers Editor","XMOD_SpecialOffersEditor","9.1.0","ecom","MODULE","The Special Offers Editor extension module provides quick management of special offers."
"pear.Archive_Tar","PEAR Archive_Tar","Archive_Tar","1.4.3","","PEAR","The PEAR Archive_Tar class."
"pear.Auth_SASL","PEAR Auth_SASL","Auth_SASL","1.0.6","","PEAR","The PEAR Auth_SASL class."
"pear.Auth_SASL2","PEAR Auth_SASL2","Auth_SASL2","0.1.0","","PEAR","The PEAR Auth_SASL2 class."
"pear.Console_Getopt","PEAR Console_Getopt","Console_Getopt","1.4.2","","PEAR","The PEAR Console_Getopt class."
"pear.File_Find","PEAR File_Find","File_Find","1.3.4","","PEAR","The PEAR File_Find class."
"pear.Mail","PEAR Mail","Mail","1.3.0","","PEAR","The PEAR Mail class."
"pear.Mail2","PEAR Mail2","Mail2","0.1.1","","PEAR","The PEAR Mail2 class."
"pear.Mail_mime","PEAR Mail_mime","Mail_mime","1.10.0","","PEAR","The PEAR Mail_mime class."
"pear.Mail_Mime2","PEAR Mail_Mime2","Mail_Mime2","0.1.1","","PEAR","The PEAR Mail_Mime2 class."
"pear.Net_SMTP","PEAR Net_SMTP","Net_SMTP","1.7.1","","PEAR","The PEAR Net_SMTP class."
"pear.Net_SMTP2","PEAR Net_SMTP2","Net_SMTP2","0.1.0","","PEAR","The PEAR Net_SMTP2 class."
"pear.Net_Socket","PEAR Net_Socket","Net_Socket","1.0.14","","PEAR","The PEAR Net_Socket class."
"pear.Net_Socket2","PEAR Net_Socket2","Net_Socket2","0.1.1","","PEAR","The PEAR Net_Socket2 class."
"pear.PEAR","PEAR Base","PEAR","1.10.1","","PEAR","The PEAR base class."
"pear.Services_JSON","PEAR Services_JSON","Services_JSON","1.0.4","","PEAR","The PEAR Services_JSON class."
"skin.COREMI910","Management Interface Skin","","9.1.0","","SKIN","The default management interface skin."
"skin.CUSTOM-2023","CUSTOM-2023","","1.0.0","","SKIN","CUSTOM-2023"
"skin.Flex","Flex Skin","","9.0.0","","SKIN","The skin seen by end users.  This skin employs a flexible grid."
"skin.FlexSkin2","Flex Skin 2","","9.0.0","","SKIN","The skin seen by end users.  This skin employs a flexible grid."
"skin.MailMessage","MailMessage Skin","","9.0.0","","SKIN","The default MailMessage skin.  Used as a wrapper for all mail messages."
