Category,Product,Option,"Website code","Website price","Notes / question"
"DONE - REMOVED FROM SITE","AL15 Yellow Gold","full roll - 1220mm x 50 mtr","Cover Styl' AL15-sz02",1922.4,"Removed as confirmed (Cover Styl' colour / CT35 obsolete, no longer applicable)."
"DONE - REMOVED FROM SITE","AL15 Yellow Gold","part roll - price per mtr at 1220mm","Cover Styl' AL15-sz01",42.72,"Removed as confirmed (Cover Styl' colour / CT35 obsolete, no longer applicable)."
"DONE - REMOVED FROM SITE","AL24 Bleach Ash","full roll - 1220mm x 50 mtr","Cover Styl' AL24-sz02",1216.8,"Removed as confirmed (Cover Styl' colour / CT35 obsolete, no longer applicable)."
"DONE - REMOVED FROM SITE","AL24 Bleach Ash","part roll - price per mtr at 1220mm","Cover Styl' AL24-sz01",27.04,"Removed as confirmed (Cover Styl' colour / CT35 obsolete, no longer applicable)."
"DONE - REMOVED FROM SITE","B3 Natural Maple","full roll - 1220mm x 50 mtr","Cover Styl' B3-sz02",1216.8,"Removed as confirmed (Cover Styl' colour / CT35 obsolete, no longer applicable)."
"DONE - REMOVED FROM SITE","B3 Natural Maple","part roll - price per mtr at 1220mm","Cover Styl' B3-sz01",27.04,"Removed as confirmed (Cover Styl' colour / CT35 obsolete, no longer applicable)."
"DONE - REMOVED FROM SITE","B50 Creme","full roll - 1220mm x 50 mtr","Cover Styl' B50-sz02",1216.8,"Removed as confirmed (Cover Styl' colour / CT35 obsolete, no longer applicable)."
"DONE - REMOVED FROM SITE","B50 Creme","part roll - price per mtr at 1220mm","Cover Styl' B50-sz01",27.04,"Removed as confirmed (Cover Styl' colour / CT35 obsolete, no longer applicable)."
"DONE - REMOVED FROM SITE","B6 Cashew Beech","full roll - 1220mm x 50 mtr","Cover Styl' B6-sz02",1216.8,"Removed as confirmed (Cover Styl' colour / CT35 obsolete, no longer applicable)."
"DONE - REMOVED FROM SITE","B6 Cashew Beech","part roll - price per mtr at 1220mm","Cover Styl' B6-sz01",27.04,"Removed as confirmed (Cover Styl' colour / CT35 obsolete, no longer applicable)."
"DONE - REMOVED FROM SITE","CT35 Aged Golden Pine","full roll - 1220mm x 50 mtr","Cover Styl' CT35-sz02",1216.8,"Removed as confirmed (Cover Styl' colour / CT35 obsolete, no longer applicable)."
"DONE - REMOVED FROM SITE","CT35 Aged Golden Pine","part roll - price per mtr at 1220mm","Cover Styl' CT35-sz01",27.04,"Removed as confirmed (Cover Styl' colour / CT35 obsolete, no longer applicable)."
"DONE - REMOVED FROM SITE","D1 Classic Walnut","full roll - 1220mm x 50 mtr","Cover Styl' D1-sz02",1216.8,"Removed as confirmed (Cover Styl' colour / CT35 obsolete, no longer applicable)."
"DONE - REMOVED FROM SITE","D1 Classic Walnut","part roll - price per mtr at 1220mm","Cover Styl' D1-sz01",27.04,"Removed as confirmed (Cover Styl' colour / CT35 obsolete, no longer applicable)."
"DONE - REMOVED FROM SITE","K6 Light Grey","full roll - 1220mm x 50 mtr","Cover Styl' K6-sz02",855.0,"Removed as confirmed (Cover Styl' colour / CT35 obsolete, no longer applicable)."
"DONE - REMOVED FROM SITE","K6 Light Grey","part roll - price per mtr at 1220mm","Cover Styl' K6-sz01",19.0,"Removed as confirmed (Cover Styl' colour / CT35 obsolete, no longer applicable)."
"DONE - REMOVED FROM SITE","M6 Steel Blue","full roll - 1220mm x 50 mtr","Cover Styl' M6-sz02",855.0,"Removed as confirmed (Cover Styl' colour / CT35 obsolete, no longer applicable)."
"DONE - REMOVED FROM SITE","M6 Steel Blue","part roll - price per mtr at 1220mm","Cover Styl' M6-sz01",19.0,"Removed as confirmed (Cover Styl' colour / CT35 obsolete, no longer applicable)."
"DONE - REMOVED FROM SITE","NE51 Champagne Silver","full roll - 1220mm x 50 mtr","Cover Styl' NE51-sz02",1496.25,"Removed as confirmed (Cover Styl' colour / CT35 obsolete, no longer applicable)."
"DONE - REMOVED FROM SITE","NE51 Champagne Silver","part roll - price per mtr at 1220mm","Cover Styl' NE51-sz01",33.25,"Removed as confirmed (Cover Styl' colour / CT35 obsolete, no longer applicable)."
"DONE - REMOVED FROM SITE","NE72 Arabesque","full roll - 1220mm x 50 mtr","Cover Styl' NE72-sz02",1216.8,"Removed as confirmed (Cover Styl' colour / CT35 obsolete, no longer applicable)."
"DONE - REMOVED FROM SITE","NE72 Arabesque","part roll - price per mtr at 1220mm","Cover Styl' NE72-sz01",27.04,"Removed as confirmed (Cover Styl' colour / CT35 obsolete, no longer applicable)."
"DONE - REMOVED FROM SITE","NF06 Blues","full roll - 1220mm x 50 mtr","Cover Styl' NF06-sz02",855.0,"Removed as confirmed (Cover Styl' colour / CT35 obsolete, no longer applicable)."
"DONE - REMOVED FROM SITE","NF06 Blues","part roll - price per mtr at 1220mm","Cover Styl' NF06-sz01",19.0,"Removed as confirmed (Cover Styl' colour / CT35 obsolete, no longer applicable)."
"DONE - REMOVED FROM SITE","NH36 Bronze patina","full roll - 1220mm x 50 mtr","Cover Styl' NH36-sz02",1496.25,"Removed as confirmed (Cover Styl' colour / CT35 obsolete, no longer applicable)."
"DONE - REMOVED FROM SITE","NH36 Bronze patina","part roll - price per mtr at 1220mm","Cover Styl' NH36-sz01",33.25,"Removed as confirmed (Cover Styl' colour / CT35 obsolete, no longer applicable)."
"DONE - REMOVED FROM SITE","Q2 Hard Silver","full roll - 1220mm x 50 mtr","Cover Styl' Q2-sz02",1496.25,"Removed as confirmed (Cover Styl' colour / CT35 obsolete, no longer applicable)."
"DONE - REMOVED FROM SITE","Q2 Hard Silver","part roll - price per mtr at 1220mm","Cover Styl' Q2-sz01",33.25,"Removed as confirmed (Cover Styl' colour / CT35 obsolete, no longer applicable)."
"DONE - REMOVED FROM SITE","RM04 Brown Chocolate","full roll - 1220mm x 50 mtr","Cover Styl' RM04-sz02",855.0,"Removed as confirmed (Cover Styl' colour / CT35 obsolete, no longer applicable)."
"DONE - REMOVED FROM SITE","RM04 Brown Chocolate","part roll - price per mtr at 1220mm","Cover Styl' RM04-sz01",19.0,"Removed as confirmed (Cover Styl' colour / CT35 obsolete, no longer applicable)."
"DONE - REMOVED FROM SITE","U20 Cement Dark","full roll - 1220mm x 50 mtr","Cover Styl' U20-sz02",1496.25,"Removed as confirmed (Cover Styl' colour / CT35 obsolete, no longer applicable)."
"DONE - REMOVED FROM SITE","U20 Cement Dark","part roll - price per mtr at 1220mm","Cover Styl' U20-sz01",33.25,"Removed as confirmed (Cover Styl' colour / CT35 obsolete, no longer applicable)."
"DONE - REMOVED FROM SITE","W7 Red Brick","full roll - 1220mm x 50 mtr","Cover Styl' W7-sz02",1496.25,"Removed as confirmed (Cover Styl' colour / CT35 obsolete, no longer applicable)."
"DONE - REMOVED FROM SITE","W7 Red Brick","part roll - price per mtr at 1220mm","Cover Styl' W7-sz01",33.25,"Removed as confirmed (Cover Styl' colour / CT35 obsolete, no longer applicable)."
"DONE - REMOVED FROM SITE","RM29 Onyx",,"Cover Styl' RM29",,"Removed as confirmed (Cover Styl' colour / CT35 obsolete, no longer applicable)."
"PLEASE CONFIRM - GLITTER CLEANUP","Black Glitter",,GL9-sz01,3.54,"You've marked these older/duplicate option rows red while leaving the ""per metre"" / ""per 30 metre roll"" rows unmarked on this colour. Reading this as: keep the product, just remove these old duplicate options — please confirm that's right before we clean these up."
"PLEASE CONFIRM - GLITTER CLEANUP","Black Glitter",,GL9-sz02,5.73,"You've marked these older/duplicate option rows red while leaving the ""per metre"" / ""per 30 metre roll"" rows unmarked on this colour. Reading this as: keep the product, just remove these old duplicate options — please confirm that's right before we clean these up."
"PLEASE CONFIRM - GLITTER CLEANUP","Black Glitter",,GL9-sz03,7.98,"You've marked these older/duplicate option rows red while leaving the ""per metre"" / ""per 30 metre roll"" rows unmarked on this colour. Reading this as: keep the product, just remove these old duplicate options — please confirm that's right before we clean these up."
"PLEASE CONFIRM - GLITTER CLEANUP","Black Glitter",,GL9-sz04,8.19,"You've marked these older/duplicate option rows red while leaving the ""per metre"" / ""per 30 metre roll"" rows unmarked on this colour. Reading this as: keep the product, just remove these old duplicate options — please confirm that's right before we clean these up."
"PLEASE CONFIRM - GLITTER CLEANUP","Black Glitter",,GL9-sz05,40.95,"You've marked these older/duplicate option rows red while leaving the ""per metre"" / ""per 30 metre roll"" rows unmarked on this colour. Reading this as: keep the product, just remove these old duplicate options — please confirm that's right before we clean these up."
"PLEASE CONFIRM - GLITTER CLEANUP","Black Glitter",,GL9-sz06,11.4,"You've marked these older/duplicate option rows red while leaving the ""per metre"" / ""per 30 metre roll"" rows unmarked on this colour. Reading this as: keep the product, just remove these old duplicate options — please confirm that's right before we clean these up."
"PLEASE CONFIRM - GLITTER CLEANUP","Black Glitter",,GL9-sz07,57.0,"You've marked these older/duplicate option rows red while leaving the ""per metre"" / ""per 30 metre roll"" rows unmarked on this colour. Reading this as: keep the product, just remove these old duplicate options — please confirm that's right before we clean these up."
"PLEASE CONFIRM - GLITTER CLEANUP","Black Glitter",,GL9-sz08,18.24,"You've marked these older/duplicate option rows red while leaving the ""per metre"" / ""per 30 metre roll"" rows unmarked on this colour. Reading this as: keep the product, just remove these old duplicate options — please confirm that's right before we clean these up."
"PLEASE CONFIRM - GLITTER CLEANUP","Black Glitter",,GL9-sz09,91.2,"You've marked these older/duplicate option rows red while leaving the ""per metre"" / ""per 30 metre roll"" rows unmarked on this colour. Reading this as: keep the product, just remove these old duplicate options — please confirm that's right before we clean these up."
"PLEASE CONFIRM - GLITTER CLEANUP","Blue Glitter",,GL11-sz01,3.54,"You've marked these older/duplicate option rows red while leaving the ""per metre"" / ""per 30 metre roll"" rows unmarked on this colour. Reading this as: keep the product, just remove these old duplicate options — please confirm that's right before we clean these up."
"PLEASE CONFIRM - GLITTER CLEANUP","Blue Glitter",,GL11-sz02,5.73,"You've marked these older/duplicate option rows red while leaving the ""per metre"" / ""per 30 metre roll"" rows unmarked on this colour. Reading this as: keep the product, just remove these old duplicate options — please confirm that's right before we clean these up."
"PLEASE CONFIRM - GLITTER CLEANUP","Blue Glitter",,GL11-sz03,7.98,"You've marked these older/duplicate option rows red while leaving the ""per metre"" / ""per 30 metre roll"" rows unmarked on this colour. Reading this as: keep the product, just remove these old duplicate options — please confirm that's right before we clean these up."
"PLEASE CONFIRM - GLITTER CLEANUP","Blue Glitter",,GL11-sz04,8.19,"You've marked these older/duplicate option rows red while leaving the ""per metre"" / ""per 30 metre roll"" rows unmarked on this colour. Reading this as: keep the product, just remove these old duplicate options — please confirm that's right before we clean these up."
"PLEASE CONFIRM - GLITTER CLEANUP","Blue Glitter",,GL11-sz05,40.95,"You've marked these older/duplicate option rows red while leaving the ""per metre"" / ""per 30 metre roll"" rows unmarked on this colour. Reading this as: keep the product, just remove these old duplicate options — please confirm that's right before we clean these up."
"PLEASE CONFIRM - GLITTER CLEANUP","Blue Glitter",,GL11-sz06,11.4,"You've marked these older/duplicate option rows red while leaving the ""per metre"" / ""per 30 metre roll"" rows unmarked on this colour. Reading this as: keep the product, just remove these old duplicate options — please confirm that's right before we clean these up."
"PLEASE CONFIRM - GLITTER CLEANUP","Blue Glitter",,GL11-sz07,57.0,"You've marked these older/duplicate option rows red while leaving the ""per metre"" / ""per 30 metre roll"" rows unmarked on this colour. Reading this as: keep the product, just remove these old duplicate options — please confirm that's right before we clean these up."
"PLEASE CONFIRM - GLITTER CLEANUP","Blue Glitter",,GL11-sz08,18.24,"You've marked these older/duplicate option rows red while leaving the ""per metre"" / ""per 30 metre roll"" rows unmarked on this colour. Reading this as: keep the product, just remove these old duplicate options — please confirm that's right before we clean these up."
"PLEASE CONFIRM - GLITTER CLEANUP","Blue Glitter",,GL11-sz09,91.2,"You've marked these older/duplicate option rows red while leaving the ""per metre"" / ""per 30 metre roll"" rows unmarked on this colour. Reading this as: keep the product, just remove these old duplicate options — please confirm that's right before we clean these up."
"PLEASE CONFIRM - GLITTER CLEANUP","Butter Glitter",,GL17-sz01,3.54,"You've marked these older/duplicate option rows red while leaving the ""per metre"" / ""per 30 metre roll"" rows unmarked on this colour. Reading this as: keep the product, just remove these old duplicate options — please confirm that's right before we clean these up."
"PLEASE CONFIRM - GLITTER CLEANUP","Butter Glitter",,GL17-sz02,5.73,"You've marked these older/duplicate option rows red while leaving the ""per metre"" / ""per 30 metre roll"" rows unmarked on this colour. Reading this as: keep the product, just remove these old duplicate options — please confirm that's right before we clean these up."
"PLEASE CONFIRM - GLITTER CLEANUP","Butter Glitter",,GL17-sz03,7.98,"You've marked these older/duplicate option rows red while leaving the ""per metre"" / ""per 30 metre roll"" rows unmarked on this colour. Reading this as: keep the product, just remove these old duplicate options — please confirm that's right before we clean these up."
"PLEASE CONFIRM - GLITTER CLEANUP","Butter Glitter",,GL17-sz04,8.19,"You've marked these older/duplicate option rows red while leaving the ""per metre"" / ""per 30 metre roll"" rows unmarked on this colour. Reading this as: keep the product, just remove these old duplicate options — please confirm that's right before we clean these up."
"PLEASE CONFIRM - GLITTER CLEANUP","Butter Glitter",,GL17-sz05,40.95,"You've marked these older/duplicate option rows red while leaving the ""per metre"" / ""per 30 metre roll"" rows unmarked on this colour. Reading this as: keep the product, just remove these old duplicate options — please confirm that's right before we clean these up."
"PLEASE CONFIRM - GLITTER CLEANUP","Butter Glitter",,GL17-sz06,11.4,"You've marked these older/duplicate option rows red while leaving the ""per metre"" / ""per 30 metre roll"" rows unmarked on this colour. Reading this as: keep the product, just remove these old duplicate options — please confirm that's right before we clean these up."
"PLEASE CONFIRM - GLITTER CLEANUP","Butter Glitter",,GL17-sz07,57.0,"You've marked these older/duplicate option rows red while leaving the ""per metre"" / ""per 30 metre roll"" rows unmarked on this colour. Reading this as: keep the product, just remove these old duplicate options — please confirm that's right before we clean these up."
"PLEASE CONFIRM - GLITTER CLEANUP","Butter Glitter",,GL17-sz08,18.24,"You've marked these older/duplicate option rows red while leaving the ""per metre"" / ""per 30 metre roll"" rows unmarked on this colour. Reading this as: keep the product, just remove these old duplicate options — please confirm that's right before we clean these up."
"PLEASE CONFIRM - GLITTER CLEANUP","Butter Glitter",,GL17-sz09,91.2,"You've marked these older/duplicate option rows red while leaving the ""per metre"" / ""per 30 metre roll"" rows unmarked on this colour. Reading this as: keep the product, just remove these old duplicate options — please confirm that's right before we clean these up."
"PLEASE CONFIRM - GLITTER CLEANUP","Copper Glitter",,GL10-sz01,3.54,"You've marked these older/duplicate option rows red while leaving the ""per metre"" / ""per 30 metre roll"" rows unmarked on this colour. Reading this as: keep the product, just remove these old duplicate options — please confirm that's right before we clean these up."
"PLEASE CONFIRM - GLITTER CLEANUP","Copper Glitter",,GL10-sz02,5.73,"You've marked these older/duplicate option rows red while leaving the ""per metre"" / ""per 30 metre roll"" rows unmarked on this colour. Reading this as: keep the product, just remove these old duplicate options — please confirm that's right before we clean these up."
"PLEASE CONFIRM - GLITTER CLEANUP","Copper Glitter",,GL10-sz03,7.98,"You've marked these older/duplicate option rows red while leaving the ""per metre"" / ""per 30 metre roll"" rows unmarked on this colour. Reading this as: keep the product, just remove these old duplicate options — please confirm that's right before we clean these up."
"PLEASE CONFIRM - GLITTER CLEANUP","Copper Glitter",,GL10-sz04,8.19,"You've marked these older/duplicate option rows red while leaving the ""per metre"" / ""per 30 metre roll"" rows unmarked on this colour. Reading this as: keep the product, just remove these old duplicate options — please confirm that's right before we clean these up."
"PLEASE CONFIRM - GLITTER CLEANUP","Copper Glitter",,GL10-sz05,40.95,"You've marked these older/duplicate option rows red while leaving the ""per metre"" / ""per 30 metre roll"" rows unmarked on this colour. Reading this as: keep the product, just remove these old duplicate options — please confirm that's right before we clean these up."
"PLEASE CONFIRM - GLITTER CLEANUP","Copper Glitter",,GL10-sz06,11.4,"You've marked these older/duplicate option rows red while leaving the ""per metre"" / ""per 30 metre roll"" rows unmarked on this colour. Reading this as: keep the product, just remove these old duplicate options — please confirm that's right before we clean these up."
"PLEASE CONFIRM - GLITTER CLEANUP","Copper Glitter",,GL10-sz07,57.0,"You've marked these older/duplicate option rows red while leaving the ""per metre"" / ""per 30 metre roll"" rows unmarked on this colour. Reading this as: keep the product, just remove these old duplicate options — please confirm that's right before we clean these up."
"PLEASE CONFIRM - GLITTER CLEANUP","Copper Glitter",,GL10-sz08,18.24,"You've marked these older/duplicate option rows red while leaving the ""per metre"" / ""per 30 metre roll"" rows unmarked on this colour. Reading this as: keep the product, just remove these old duplicate options — please confirm that's right before we clean these up."
"PLEASE CONFIRM - GLITTER CLEANUP","Copper Glitter",,GL10-sz09,91.2,"You've marked these older/duplicate option rows red while leaving the ""per metre"" / ""per 30 metre roll"" rows unmarked on this colour. Reading this as: keep the product, just remove these old duplicate options — please confirm that's right before we clean these up."
"PLEASE CONFIRM - GLITTER CLEANUP","Gold Glitter",,GL5-sz01,3.54,"You've marked these older/duplicate option rows red while leaving the ""per metre"" / ""per 30 metre roll"" rows unmarked on this colour. Reading this as: keep the product, just remove these old duplicate options — please confirm that's right before we clean these up."
"PLEASE CONFIRM - GLITTER CLEANUP","Gold Glitter",,GL5-sz02,5.73,"You've marked these older/duplicate option rows red while leaving the ""per metre"" / ""per 30 metre roll"" rows unmarked on this colour. Reading this as: keep the product, just remove these old duplicate options — please confirm that's right before we clean these up."
"PLEASE CONFIRM - GLITTER CLEANUP","Gold Glitter",,GL5-sz03,7.98,"You've marked these older/duplicate option rows red while leaving the ""per metre"" / ""per 30 metre roll"" rows unmarked on this colour. Reading this as: keep the product, just remove these old duplicate options — please confirm that's right before we clean these up."
"PLEASE CONFIRM - GLITTER CLEANUP","Gold Glitter",,GL5-sz04,8.19,"You've marked these older/duplicate option rows red while leaving the ""per metre"" / ""per 30 metre roll"" rows unmarked on this colour. Reading this as: keep the product, just remove these old duplicate options — please confirm that's right before we clean these up."
"PLEASE CONFIRM - GLITTER CLEANUP","Gold Glitter",,GL5-sz05,40.95,"You've marked these older/duplicate option rows red while leaving the ""per metre"" / ""per 30 metre roll"" rows unmarked on this colour. Reading this as: keep the product, just remove these old duplicate options — please confirm that's right before we clean these up."
"PLEASE CONFIRM - GLITTER CLEANUP","Gold Glitter",,GL5-sz06,11.4,"You've marked these older/duplicate option rows red while leaving the ""per metre"" / ""per 30 metre roll"" rows unmarked on this colour. Reading this as: keep the product, just remove these old duplicate options — please confirm that's right before we clean these up."
"PLEASE CONFIRM - GLITTER CLEANUP","Gold Glitter",,GL5-sz07,57.0,"You've marked these older/duplicate option rows red while leaving the ""per metre"" / ""per 30 metre roll"" rows unmarked on this colour. Reading this as: keep the product, just remove these old duplicate options — please confirm that's right before we clean these up."
"PLEASE CONFIRM - GLITTER CLEANUP","Gold Glitter",,GL5-sz08,18.24,"You've marked these older/duplicate option rows red while leaving the ""per metre"" / ""per 30 metre roll"" rows unmarked on this colour. Reading this as: keep the product, just remove these old duplicate options — please confirm that's right before we clean these up."
"PLEASE CONFIRM - GLITTER CLEANUP","Gold Glitter",,GL5-sz09,91.2,"You've marked these older/duplicate option rows red while leaving the ""per metre"" / ""per 30 metre roll"" rows unmarked on this colour. Reading this as: keep the product, just remove these old duplicate options — please confirm that's right before we clean these up."
"PLEASE CONFIRM - GLITTER CLEANUP","Green Glitter",,GL12-sz01,3.54,"You've marked these older/duplicate option rows red while leaving the ""per metre"" / ""per 30 metre roll"" rows unmarked on this colour. Reading this as: keep the product, just remove these old duplicate options — please confirm that's right before we clean these up."
"PLEASE CONFIRM - GLITTER CLEANUP","Green Glitter",,GL12-sz02,5.73,"You've marked these older/duplicate option rows red while leaving the ""per metre"" / ""per 30 metre roll"" rows unmarked on this colour. Reading this as: keep the product, just remove these old duplicate options — please confirm that's right before we clean these up."
"PLEASE CONFIRM - GLITTER CLEANUP","Green Glitter",,GL12-sz03,7.98,"You've marked these older/duplicate option rows red while leaving the ""per metre"" / ""per 30 metre roll"" rows unmarked on this colour. Reading this as: keep the product, just remove these old duplicate options — please confirm that's right before we clean these up."
"PLEASE CONFIRM - GLITTER CLEANUP","Green Glitter",,GL12-sz04,8.19,"You've marked these older/duplicate option rows red while leaving the ""per metre"" / ""per 30 metre roll"" rows unmarked on this colour. Reading this as: keep the product, just remove these old duplicate options — please confirm that's right before we clean these up."
"PLEASE CONFIRM - GLITTER CLEANUP","Green Glitter",,GL12-sz05,40.95,"You've marked these older/duplicate option rows red while leaving the ""per metre"" / ""per 30 metre roll"" rows unmarked on this colour. Reading this as: keep the product, just remove these old duplicate options — please confirm that's right before we clean these up."
"PLEASE CONFIRM - GLITTER CLEANUP","Green Glitter",,GL12-sz06,11.4,"You've marked these older/duplicate option rows red while leaving the ""per metre"" / ""per 30 metre roll"" rows unmarked on this colour. Reading this as: keep the product, just remove these old duplicate options — please confirm that's right before we clean these up."
"PLEASE CONFIRM - GLITTER CLEANUP","Green Glitter",,GL12-sz07,57.0,"You've marked these older/duplicate option rows red while leaving the ""per metre"" / ""per 30 metre roll"" rows unmarked on this colour. Reading this as: keep the product, just remove these old duplicate options — please confirm that's right before we clean these up."
"PLEASE CONFIRM - GLITTER CLEANUP","Green Glitter",,GL12-sz08,18.24,"You've marked these older/duplicate option rows red while leaving the ""per metre"" / ""per 30 metre roll"" rows unmarked on this colour. Reading this as: keep the product, just remove these old duplicate options — please confirm that's right before we clean these up."
"PLEASE CONFIRM - GLITTER CLEANUP","Green Glitter",,GL12-sz09,91.2,"You've marked these older/duplicate option rows red while leaving the ""per metre"" / ""per 30 metre roll"" rows unmarked on this colour. Reading this as: keep the product, just remove these old duplicate options — please confirm that's right before we clean these up."
"PLEASE CONFIRM - GLITTER CLEANUP","Magenta Glitter",,GL13-sz01,3.54,"You've marked these older/duplicate option rows red while leaving the ""per metre"" / ""per 30 metre roll"" rows unmarked on this colour. Reading this as: keep the product, just remove these old duplicate options — please confirm that's right before we clean these up."
"PLEASE CONFIRM - GLITTER CLEANUP","Magenta Glitter",,GL13-sz02,5.73,"You've marked these older/duplicate option rows red while leaving the ""per metre"" / ""per 30 metre roll"" rows unmarked on this colour. Reading this as: keep the product, just remove these old duplicate options — please confirm that's right before we clean these up."
"PLEASE CONFIRM - GLITTER CLEANUP","Magenta Glitter",,GL13-sz03,7.98,"You've marked these older/duplicate option rows red while leaving the ""per metre"" / ""per 30 metre roll"" rows unmarked on this colour. Reading this as: keep the product, just remove these old duplicate options — please confirm that's right before we clean these up."
"PLEASE CONFIRM - GLITTER CLEANUP","Magenta Glitter",,GL13-sz04,8.19,"You've marked these older/duplicate option rows red while leaving the ""per metre"" / ""per 30 metre roll"" rows unmarked on this colour. Reading this as: keep the product, just remove these old duplicate options — please confirm that's right before we clean these up."
"PLEASE CONFIRM - GLITTER CLEANUP","Magenta Glitter",,GL13-sz05,40.95,"You've marked these older/duplicate option rows red while leaving the ""per metre"" / ""per 30 metre roll"" rows unmarked on this colour. Reading this as: keep the product, just remove these old duplicate options — please confirm that's right before we clean these up."
"PLEASE CONFIRM - GLITTER CLEANUP","Magenta Glitter",,GL13-sz06,11.4,"You've marked these older/duplicate option rows red while leaving the ""per metre"" / ""per 30 metre roll"" rows unmarked on this colour. Reading this as: keep the product, just remove these old duplicate options — please confirm that's right before we clean these up."
"PLEASE CONFIRM - GLITTER CLEANUP","Magenta Glitter",,GL13-sz07,57.0,"You've marked these older/duplicate option rows red while leaving the ""per metre"" / ""per 30 metre roll"" rows unmarked on this colour. Reading this as: keep the product, just remove these old duplicate options — please confirm that's right before we clean these up."
"PLEASE CONFIRM - GLITTER CLEANUP","Magenta Glitter",,GL13-sz08,18.24,"You've marked these older/duplicate option rows red while leaving the ""per metre"" / ""per 30 metre roll"" rows unmarked on this colour. Reading this as: keep the product, just remove these old duplicate options — please confirm that's right before we clean these up."
"PLEASE CONFIRM - GLITTER CLEANUP","Magenta Glitter",,GL13-sz09,91.2,"You've marked these older/duplicate option rows red while leaving the ""per metre"" / ""per 30 metre roll"" rows unmarked on this colour. Reading this as: keep the product, just remove these old duplicate options — please confirm that's right before we clean these up."
"PLEASE CONFIRM - GLITTER CLEANUP","Navy Blue Glitter",,GL15-sz01,3.54,"You've marked these older/duplicate option rows red while leaving the ""per metre"" / ""per 30 metre roll"" rows unmarked on this colour. Reading this as: keep the product, just remove these old duplicate options — please confirm that's right before we clean these up."
"PLEASE CONFIRM - GLITTER CLEANUP","Navy Blue Glitter",,GL15-sz02,5.73,"You've marked these older/duplicate option rows red while leaving the ""per metre"" / ""per 30 metre roll"" rows unmarked on this colour. Reading this as: keep the product, just remove these old duplicate options — please confirm that's right before we clean these up."
"PLEASE CONFIRM - GLITTER CLEANUP","Navy Blue Glitter",,GL15-sz03,7.98,"You've marked these older/duplicate option rows red while leaving the ""per metre"" / ""per 30 metre roll"" rows unmarked on this colour. Reading this as: keep the product, just remove these old duplicate options — please confirm that's right before we clean these up."
"PLEASE CONFIRM - GLITTER CLEANUP","Navy Blue Glitter",,GL15-sz04,8.19,"You've marked these older/duplicate option rows red while leaving the ""per metre"" / ""per 30 metre roll"" rows unmarked on this colour. Reading this as: keep the product, just remove these old duplicate options — please confirm that's right before we clean these up."
"PLEASE CONFIRM - GLITTER CLEANUP","Navy Blue Glitter",,GL15-sz05,40.95,"You've marked these older/duplicate option rows red while leaving the ""per metre"" / ""per 30 metre roll"" rows unmarked on this colour. Reading this as: keep the product, just remove these old duplicate options — please confirm that's right before we clean these up."
"PLEASE CONFIRM - GLITTER CLEANUP","Navy Blue Glitter",,GL15-sz06,11.4,"You've marked these older/duplicate option rows red while leaving the ""per metre"" / ""per 30 metre roll"" rows unmarked on this colour. Reading this as: keep the product, just remove these old duplicate options — please confirm that's right before we clean these up."
